"Number","Question","Answer1","Answer2","DOI","Year","Author","Comments"
13,"Sample size","169489","87009 females and 82480 males landed at fish market","10.1093/icesjms/fsu056",2014,"Tsai",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1002/jwmg.835",2015,"Chitwood",NA
2,"Organism","mammal","white-tailed deer","10.1002/jwmg.835",2015,"Chitwood",NA
3,"Do they model an observation process for survival?","yes","known-fate survival model in Program MARK","10.1002/jwmg.835",2015,"Chitwood","program MARK"
4,"Do they model an observation process for fecundity?","no","direct calculation","10.1002/jwmg.835",2015,"Chitwood",NA
5,"Was uncertainty reported?","yes","but not clear what it is","10.1002/jwmg.835",2015,"Chitwood",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1002/jwmg.835",2015,"Chitwood",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","0.788 to 1.003 with mid of 0.905 for current scenario","10.1002/jwmg.835",2015,"Chitwood",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","most important was adult female survival","10.1002/jwmg.835",2015,"Chitwood",NA
9,"Pre or post breeding census","not reported","guess: post as includes adult survival in fecundity","10.1002/jwmg.835",2015,"Chitwood",NA
10,"Life cycle correctly estimated?","can't tell",NA,"10.1002/jwmg.835",2015,"Chitwood",NA
11,"What is error if one found?",NA,NA,"10.1002/jwmg.835",2015,"Chitwood",NA
12,"What metric used for fecundity?","number of neonates per female","birth rate times adult survival","10.1002/jwmg.835",2015,"Chitwood",NA
13,"Sample size","58","adult females","10.1002/jwmg.835",2015,"Chitwood",NA
1,"Is there an MPM in original paper?","yes","experiment","10.1111/1365-2656.12109",2013,"Mugabo","population density experiment"
2,"Organism","reptile","common lizards","10.1111/1365-2656.12109",2013,"Mugabo",NA
3,"Do they model an observation process for survival?","no","direct calculation","10.1111/1365-2656.12109",2013,"Mugabo",NA
4,"Do they model an observation process for fecundity?","no","logistic regression and Poisson regression","10.1111/1365-2656.12109",2013,"Mugabo",NA
5,"Was uncertainty reported?","yes","SE of survival","10.1111/1365-2656.12109",2013,"Mugabo",NA
6,"If reported, was the uncertainty complete for all parameters?","no","reproduction","10.1111/1365-2656.12109",2013,"Mugabo",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","between 0.6 and 1.4 across all models, declines slightly with density","10.1111/1365-2656.12109",2013,"Mugabo",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","most important were juvenile and yearling survival","10.1111/1365-2656.12109",2013,"Mugabo",NA
9,"Pre or post breeding census","post",NA,"10.1111/1365-2656.12109",2013,"Mugabo",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1111/1365-2656.12109",2013,"Mugabo",NA
11,"What is error if one found?",NA,NA,"10.1111/1365-2656.12109",2013,"Mugabo",NA
12,"What metric used for fecundity?","stage-specific proportion of breeders times total clutch size, hatching success, and primary sex ratio","also includes mother survival","10.1111/1365-2656.12109",2013,"Mugabo",NA
13,"Sample size","927","total number of individuals in experimental treatments","10.1111/1365-2656.12109",2013,"Mugabo",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
2,"Organism","mammal","wild boar","10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
3,"Do they model an observation process for survival?","yes","multistate survival/transition model in E-SURGE","10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon","E-SURGE"
4,"Do they model an observation process for fecundity?","no","direct calculation and expert opinion","10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
5,"Was uncertainty reported?","no",NA,"10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","1.048","10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","most influential were the parameters od medium-sized females","10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
9,"Pre or post breeding census","pre",NA,"10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
10,"Life cycle correctly estimated?","yes","includes survival post natal in fecundity","10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
11,"What is error if one found?",NA,NA,"10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
12,"What metric used for fecundity?","mean number of juveniles produced by certain size group female",NA,"10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon",NA
13,"Sample size","2139","total individuals marked","10.1111/j.1365-2664.2012.02160.x",2012,"Gamelon","no sample size break down"
1,"Is there an MPM in original paper?","yes",NA,"10.1002/lno.10075",2015,"Edmunds","Poptools in Excel"
2,"Organism","scleractinia","Orbicella annularis","10.1002/lno.10075",2015,"Edmunds",NA
3,"Do they model an observation process for survival?","no","direct calculation","10.1002/lno.10075",2015,"Edmunds",NA
4,"Do they model an observation process for fecundity?","no","direct calculation from another area","10.1002/lno.10075",2015,"Edmunds",NA
5,"Was uncertainty reported?","yes","bootstrap to get CI for lambda","10.1002/lno.10075",2015,"Edmunds",NA
6,"If reported, was the uncertainty complete for all parameters?","no","reproduction","10.1002/lno.10075",2015,"Edmunds",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","1.152-1.018 in Tektite and 0.586-0.679 in Yawzi Point","10.1002/lno.10075",2015,"Edmunds",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","survival of large individuals was most important in 1988-1993 and 1998-2003 but stasis or recruitment of smallest important in 2003-2013 and survival and stasis of size 2 in 1993-1998","10.1002/lno.10075",2015,"Edmunds",NA
9,"Pre or post breeding census","not reported",NA,"10.1002/lno.10075",2015,"Edmunds",NA
10,"Life cycle correctly estimated?","can't tell",NA,"10.1002/lno.10075",2015,"Edmunds",NA
11,"What is error if one found?",NA,NA,"10.1002/lno.10075",2015,"Edmunds",NA
12,"What metric used for fecundity?","number of juveniles per area",NA,"10.1002/lno.10075",2015,"Edmunds",NA
13,"Sample size","827","maximum colonies tracked","10.1002/lno.10075",2015,"Edmunds",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1007/s00227-015-2695-8",2015,"Meyer",NA
2,"Organism","mammal","New Zealand sea lion","10.1007/s00227-015-2695-8",2015,"Meyer","open access data"
3,"Do they model an observation process for survival?","yes","multistate state-space CJS model","10.1007/s00227-015-2695-8",2015,"Meyer","propgate uncertainty to elasticity"
4,"Do they model an observation process for fecundity?","yes","multistate state-space CJS model","10.1007/s00227-015-2695-8",2015,"Meyer",NA
5,"Was uncertainty reported?","yes","credible intervals","10.1007/s00227-015-2695-8",2015,"Meyer",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1007/s00227-015-2695-8",2015,"Meyer",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","0.950 (CI 0.92-0.978)","10.1007/s00227-015-2695-8",2015,"Meyer",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","most important elasticity was adult survival","10.1007/s00227-015-2695-8",2015,"Meyer",NA
9,"Pre or post breeding census","post",NA,"10.1007/s00227-015-2695-8",2015,"Meyer",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1007/s00227-015-2695-8",2015,"Meyer",NA
11,"What is error if one found?",NA,NA,"10.1007/s00227-015-2695-8",2015,"Meyer",NA
12,"What metric used for fecundity?","stage specific contributions of pups",NA,"10.1007/s00227-015-2695-8",2015,"Meyer",NA
13,"Sample size","2928","total females in mark recpture","10.1007/s00227-015-2695-8",2015,"Meyer",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1007/s10144-011-0292-3",2012,"Hyslop","program MARK"
2,"Organism","reptile","Eastern Indigo snake","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
3,"Do they model an observation process for survival?","yes","CJS and multistate CMR models","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
4,"Do they model an observation process for fecundity?","no","from other studies","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
5,"Was uncertainty reported?","yes","standard errors","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
6,"If reported, was the uncertainty complete for all parameters?","no","reproduction","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","0.96 to 1.03","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","most sensitive to changes in adult survival","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
9,"Pre or post breeding census","post",NA,"10.1007/s10144-011-0292-3",2012,"Hyslop",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1007/s10144-011-0292-3",2012,"Hyslop",NA
11,"What is error if one found?",NA,NA,"10.1007/s10144-011-0292-3",2012,"Hyslop",NA
12,"What metric used for fecundity?","product of mean clutch size divided 2, nest survival, hatching rate, and breeding probability",NA,"10.1007/s10144-011-0292-3",2012,"Hyslop",NA
13,"Sample size","437","total captures across two sites","10.1007/s10144-011-0292-3",2012,"Hyslop",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1007/s10144-014-0450-5",2014,"Wolf",NA
2,"Organism","reptile","Texas horned lizard","10.1007/s10144-014-0450-5",2014,"Wolf","program MARK"
3,"Do they model an observation process for survival?","yes","two methods: censor missing or known-fates model in Program MARK but direct calculation for juveniles","10.1007/s10144-014-0450-5",2014,"Wolf","PopTools"
4,"Do they model an observation process for fecundity?","no","direct calculations","10.1007/s10144-014-0450-5",2014,"Wolf",NA
5,"Was uncertainty reported?","yes",NA,"10.1007/s10144-014-0450-5",2014,"Wolf",NA
6,"If reported, was the uncertainty complete for all parameters?","no","some survival","10.1007/s10144-014-0450-5",2014,"Wolf",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","not reported just look at impacts of parameters on lambda","10.1007/s10144-014-0450-5",2014,"Wolf",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","recruitment and adult fecundity were most important","10.1007/s10144-014-0450-5",2014,"Wolf",NA
9,"Pre or post breeding census","not reported","assume post","10.1007/s10144-014-0450-5",2014,"Wolf",NA
10,"Life cycle correctly estimated?","can't tell",NA,"10.1007/s10144-014-0450-5",2014,"Wolf",NA
11,"What is error if one found?",NA,NA,"10.1007/s10144-014-0450-5",2014,"Wolf",NA
12,"What metric used for fecundity?","number of female offspring per female per year","calculated using sex ratio times proportion of breeding females time first clutch size times proportion of breeding females times second clutch size times nest survival times hatch rate","10.1007/s10144-014-0450-5",2014,"Wolf",NA
13,"Sample size","376","adults across two populations","10.1007/s10144-014-0450-5",2014,"Wolf",NA
1,"Is there an MPM in original paper?","yes","some experiment","10.1007/s00227-012-1933-6",2012,"Haslob","poptools"
2,"Organism","fish","Baltic sprat","10.1007/s00227-012-1933-6",2012,"Haslob",NA
3,"Do they model an observation process for survival?","no","from literature, from experiments, from other studies then exponential decay model","10.1007/s00227-012-1933-6",2012,"Haslob",NA
4,"Do they model an observation process for fecundity?","no","length dependent models of different forms","10.1007/s00227-012-1933-6",2012,"Haslob",NA
5,"Was uncertainty reported?","no","one standard deviation reported but then ignored","10.1007/s00227-012-1933-6",2012,"Haslob","the standard deviation based estimate is not what makes it into the model"
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1007/s00227-012-1933-6",2012,"Haslob",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","not explicitly reported, but changes with temperature","10.1007/s00227-012-1933-6",2012,"Haslob",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","survival and transitions were more important","10.1007/s00227-012-1933-6",2012,"Haslob",NA
9,"Pre or post breeding census","not reported","think continuous reproduction and daily","10.1007/s00227-012-1933-6",2012,"Haslob",NA
10,"Life cycle correctly estimated?","can't tell",NA,"10.1007/s00227-012-1933-6",2012,"Haslob",NA
11,"What is error if one found?",NA,NA,"10.1007/s00227-012-1933-6",2012,"Haslob",NA
12,"What metric used for fecundity?","produced eggs per individual","compound rate including sex ratio, proportion mature, L50, spawning interval, batch fecundity","10.1007/s00227-012-1933-6",2012,"Haslob",NA
13,"Sample size","not reported",NA,"10.1007/s00227-012-1933-6",2012,"Haslob",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1007/s00442-010-1761-7",2010,"Hudgens","from literature so no sample size for individual vital rates"
2,"Organism","mammal","island fox","10.1007/s00442-010-1761-7",2010,"Hudgens",NA
3,"Do they model an observation process for survival?","no","from literature and then modified based on changes in behaviour","10.1007/s00442-010-1761-7",2010,"Hudgens",NA
4,"Do they model an observation process for fecundity?","no","from literature","10.1007/s00442-010-1761-7",2010,"Hudgens",NA
5,"Was uncertainty reported?","no",NA,"10.1007/s00442-010-1761-7",2010,"Hudgens",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1007/s00442-010-1761-7",2010,"Hudgens",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","lambda of 0.64 for baseline but 0.74 under shifted behaviour","10.1007/s00442-010-1761-7",2010,"Hudgens",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","no",NA,"10.1007/s00442-010-1761-7",2010,"Hudgens",NA
9,"Pre or post breeding census","not reported",NA,"10.1007/s00442-010-1761-7",2010,"Hudgens",NA
10,"Life cycle correctly estimated?","yes","includes survival in fecundity","10.1007/s00442-010-1761-7",2010,"Hudgens",NA
11,"What is error if one found?",NA,NA,"10.1007/s00442-010-1761-7",2010,"Hudgens",NA
12,"What metric used for fecundity?","number of female pups per female fox multiplied by pup survival",NA,"10.1007/s00442-010-1761-7",2010,"Hudgens",NA
13,"Sample size",NA,"from literature","10.1007/s00442-010-1761-7",2010,"Hudgens",NA
1,"Is there an MPM in original paper?","yes","experiment","10.1007/s10646-010-0507-y",2010,"Duchet","PopTools"
2,"Organism","Anomopoda","Daphnia pulex and Daphnia magna","10.1007/s10646-010-0507-y",2010,"Duchet","RAMAS GIS"
3,"Do they model an observation process for survival?","no","direct calculation: from life table","10.1007/s10646-010-0507-y",2010,"Duchet",NA
4,"Do they model an observation process for fecundity?","no","direct calculation: from life table","10.1007/s10646-010-0507-y",2010,"Duchet",NA
5,"Was uncertainty reported?","yes","standard error of lambda from simulation","10.1007/s10646-010-0507-y",2010,"Duchet",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1007/s10646-010-0507-y",2010,"Duchet","there are error bars on plots but they are not labelled so no idea what they are"
7,"Was lambda estimated from matrix? If yes what conclusion","yes","for lab conditions D. pulex had lambda over 1 in all treatments, D. magna switched to negative growth in spinosad treatment. In field, population growth rates were below 1 for D.pulex but above 1 for D. magna. ","10.1007/s10646-010-0507-y",2010,"Duchet",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","no",NA,"10.1007/s10646-010-0507-y",2010,"Duchet",NA
9,"Pre or post breeding census","post",NA,"10.1007/s10646-010-0507-y",2010,"Duchet",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1007/s10646-010-0507-y",2010,"Duchet",NA
11,"What is error if one found?",NA,NA,"10.1007/s10646-010-0507-y",2010,"Duchet",NA
12,"What metric used for fecundity?","average number of female offspring produced per female of age x","also includes survival of mother","10.1007/s10646-010-0507-y",2010,"Duchet",NA
13,"Sample size","not reported",NA,"10.1007/s10646-010-0507-y",2010,"Duchet",NA
1,"Is there an MPM in original paper?","yes","experiment","10.1007/s11270-014-2207-3",2014,"Santadino",NA
2,"Organism","Opisthopora","Eisenia fetida","10.1007/s11270-014-2207-3",2014,"Santadino",NA
3,"Do they model an observation process for survival?","no","direct calculation","10.1007/s11270-014-2207-3",2014,"Santadino",NA
4,"Do they model an observation process for fecundity?","no","direct calculation","10.1007/s11270-014-2207-3",2014,"Santadino",NA
5,"Was uncertainty reported?","yes","standard error for lambda but no idea where it comes from","10.1007/s11270-014-2207-3",2014,"Santadino",NA
6,"If reported, was the uncertainty complete for all parameters?","no","survival reproduction","10.1007/s11270-014-2207-3",2014,"Santadino",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","1.037 in control but down to 0.473 and 0.315 under dosage treatments","10.1007/s11270-014-2207-3",2014,"Santadino",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","most important in control is adult survival but in treatments is survival from juvenile to adult","10.1007/s11270-014-2207-3",2014,"Santadino",NA
9,"Pre or post breeding census","not reported",NA,"10.1007/s11270-014-2207-3",2014,"Santadino",NA
10,"Life cycle correctly estimated?","can't tell",NA,"10.1007/s11270-014-2207-3",2014,"Santadino",NA
11,"What is error if one found?",NA,NA,"10.1007/s11270-014-2207-3",2014,"Santadino",NA
12,"What metric used for fecundity?","number of eggs produced per adult",NA,"10.1007/s11270-014-2207-3",2014,"Santadino",NA
13,"Sample size","not reported",NA,"10.1007/s11270-014-2207-3",2014,"Santadino",NA
1,"Is there an MPM in original paper?","no","call it a two stage population projection model not MPM and do not treat it like a matrix","10.1007/s10980-013-9896-7",2013,"Hovick",NA
2,"Organism",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
3,"Do they model an observation process for survival?",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
4,"Do they model an observation process for fecundity?",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
5,"Was uncertainty reported?",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
7,"Was lambda estimated from matrix? If yes what conclusion",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
9,"Pre or post breeding census",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
10,"Life cycle correctly estimated?",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
11,"What is error if one found?",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
12,"What metric used for fecundity?",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
13,"Sample size",NA,NA,"10.1007/s10980-013-9896-7",2013,"Hovick",NA
1,"Is there an MPM in original paper?","no","none mentioned","10.3354/meps08595",2010,"Lenihan",NA
2,"Organism",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
3,"Do they model an observation process for survival?",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
4,"Do they model an observation process for fecundity?",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
5,"Was uncertainty reported?",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
7,"Was lambda estimated from matrix? If yes what conclusion",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
9,"Pre or post breeding census",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
10,"Life cycle correctly estimated?",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
11,"What is error if one found?",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
12,"What metric used for fecundity?",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
13,"Sample size",NA,NA,"10.3354/meps08595",2010,"Lenihan",NA
1,"Is there an MPM in original paper?","no","state-space Bayesian model","10.1111/j.1365-2664.2010.01846.x",2010,"Johnson","COULD BE USEFUL FOR FORECASTING"
2,"Organism",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
3,"Do they model an observation process for survival?",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
4,"Do they model an observation process for fecundity?",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
5,"Was uncertainty reported?",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
7,"Was lambda estimated from matrix? If yes what conclusion",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
9,"Pre or post breeding census",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
10,"Life cycle correctly estimated?",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
11,"What is error if one found?",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
12,"What metric used for fecundity?",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
13,"Sample size",NA,NA,"10.1111/j.1365-2664.2010.01846.x",2010,"Johnson",NA
1,"Is there an MPM in original paper?","no","individual based model","10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
2,"Organism",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
3,"Do they model an observation process for survival?",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
4,"Do they model an observation process for fecundity?",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
5,"Was uncertainty reported?",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
7,"Was lambda estimated from matrix? If yes what conclusion",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
9,"Pre or post breeding census",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
10,"Life cycle correctly estimated?",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
11,"What is error if one found?",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
12,"What metric used for fecundity?",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
13,"Sample size",NA,NA,"10.1016/j.ecolmodel.2010.06.026",2010,"Wiederholt",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1016/j.biocon.2009.12.010",2010,"Kruger","COULD BE AN EXAMPLE OF WHY VALIDATION IMPORTANT"
2,"Organism","bird","white-tailed eagle","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
3,"Do they model an observation process for survival?","no","direct probability or mean of neighbouring ages","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
4,"Do they model an observation process for fecundity?","no","polynomial GLMM","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
5,"Was uncertainty reported?","yes","lambda","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
6,"If reported, was the uncertainty complete for all parameters?","no","survival reproduction","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","declining 1947-1974, increasing 1975-2008","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","adult and pre-breeding survival are key vital rate elements","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
9,"Pre or post breeding census","post",NA,"10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
11,"What is error if one found?",NA,NA,"10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
12,"What metric used for fecundity?","number of chicks per breeding attempt*0.5",NA,"10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
13,"Sample size","80","total birds for survival","10.1016/j.biocon.2009.12.010",2010,"Kruger",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1655/09-005.1",2010,"Zamora-Abrego",NA
2,"Organism","reptile","knob-scaled lizard","10.1655/09-005.1",2010,"Zamora-Abrego",NA
3,"Do they model an observation process for survival?",NA,"direct calculation: proportion","10.1655/09-005.1",2010,"Zamora-Abrego","capture whole population"
4,"Do they model an observation process for fecundity?","no","mean litter size per year","10.1655/09-005.1",2010,"Zamora-Abrego","15, 20, 18 pregnant females"
5,"Was uncertainty reported?","yes","lambda - analytical method","10.1655/09-005.1",2010,"Zamora-Abrego",NA
6,"If reported, was the uncertainty complete for all parameters?","no","survival reproduction","10.1655/09-005.1",2010,"Zamora-Abrego",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","positive growth in 2001-2003 but negative 2003-2004","10.1655/09-005.1",2010,"Zamora-Abrego",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","growth of yearlings and juveniles and stasis of adults were most important","10.1655/09-005.1",2010,"Zamora-Abrego",NA
9,"Pre or post breeding census","post",NA,"10.1655/09-005.1",2010,"Zamora-Abrego",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1655/09-005.1",2010,"Zamora-Abrego",NA
11,"What is error if one found?",NA,NA,"10.1655/09-005.1",2010,"Zamora-Abrego",NA
12,"What metric used for fecundity?","mean litter size times female survival",NA,"10.1655/09-005.1",2010,"Zamora-Abrego",NA
13,"Sample size","145","total lizards marked, 56 males and 89 females","10.1655/09-005.1",2010,"Zamora-Abrego",NA
1,"Is there an MPM in original paper?","yes",NA,"10.1644/09-MAMM-A-047.1.",2010,"Corti","PopTools"
2,"Organism","mammal","huemul deer","10.1644/09-MAMM-A-047.1.",2010,"Corti","FLAG"
3,"Do they model an observation process for survival?","no","apparent survival estimated with Kaplan-Meier procedure","10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
4,"Do they model an observation process for fecundity?","no","direct calculation","10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
5,"Was uncertainty reported?","yes","only standard deviations for vital rates","10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
6,"If reported, was the uncertainty complete for all parameters?","yes",NA,"10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
7,"Was lambda estimated from matrix? If yes what conclusion","yes","stable","10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
8,"Was a sensitivity/elasticity analysis conducted? If yes what was conclusion","yes","adutl female survival was most important","10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
9,"Pre or post breeding census","pre",NA,"10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
10,"Life cycle correctly estimated?","yes",NA,"10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
11,"What is error if one found?",NA,NA,"10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
12,"What metric used for fecundity?","recruitment",NA,"10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
13,"Sample size","88","total identified deer; ","10.1644/09-MAMM-A-047.1.",2010,"Corti",NA
1,"Is there an MPM in original paper?","yes",NA,"10.2744/CCB-0778.1",2010,"Mogollones",NA
2,"Organism","reptile","Podocnemis expansa","10.2744/CCB-0778.1",2010,"Mogollones",NA
3,"Do they model an observation process for survival?","no","direct alculation: Frazer's method and Peulou method","10.2744/CCB-0778.1",2010,"Mogollones",NA
4,"Do they model an observation process for fecundity?","no","direct calculation: number of eggs * propotion female","10.2744/CCB-0778.1",2010,"Mogollones",NA
5,"Was uncertainty reported?","no","some reported for an earlier analysis but not the matrix","10.2744/CCB-0778.1",2010,"Mogollones",NA
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,"10.2744/CCB-0778.1",2010,"Mogollones",NA
