Number,Question,Answer1,Answer2,DOI,Year,Author,Comments
1,Is there an MPM in original paper?,yes,experiment,10.1007/s10144-016-0562-1,2016,Grear,
2,Organism,crustacea,Americamysis bahia,10.1007/s10144-016-0562-1,2016,Grear,
3,Do they model an observation process for survival?,no,logit linear function and logistic regression,10.1007/s10144-016-0562-1,2016,Grear,used inverse demographic technique to then plug these into matrix
4,Do they model an observation process for fecundity?,no,linear function and some LMM (gaussian),10.1007/s10144-016-0562-1,2016,Grear,
5,Was uncertainty reported?,yes,fecundity,10.1007/s10144-016-0562-1,2016,Grear,
6,"If reported, was the uncertainty complete for all parameters?",no,survival,10.1007/s10144-016-0562-1,2016,Grear,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"differed between ambient and CO2, 2%",10.1007/s10144-016-0562-1,2016,Grear,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,life table response experiment - fecundity most important (cohort study) but population experiment found adult survival important ,10.1007/s10144-016-0562-1,2016,Grear,
9,Pre or post breeding census,not reported,guess = pre,10.1007/s10144-016-0562-1,2016,Grear,
10,Life cycle correctly estimated?,can't tell,doesn't mention survival in fecundity part,10.1007/s10144-016-0562-1,2016,Grear,
11,What is error if one found?,can't tell,,10.1007/s10144-016-0562-1,2016,Grear,
12,What metric used for fecundity?,ratio of neonates at time t to adults age i at t-1,,10.1007/s10144-016-0562-1,2016,Grear,
13,Sample size,250,total number of initial starting pop in ex 2,10.1007/s10144-016-0562-1,2016,Grear,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/rec.12409,2016,Wang,program MARK
2,Organism,bird,crested ibis,10.1111/rec.12409,2016,Wang,
3,Do they model an observation process for survival?,yes,joint live and dead model in program MARK,10.1111/rec.12409,2016,Wang,
4,Do they model an observation process for fecundity?,no,mean,10.1111/rec.12409,2016,Wang,
5,Was uncertainty reported?,yes,confidence intervals for survival,10.1111/rec.12409,2016,Wang,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/rec.12409,2016,Wang,
7,Was lambda estimated from matrix? If yes what conclusion,yes,over 1 (1.084) CI 1.069-1.098,10.1111/rec.12409,2016,Wang,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult survival was most influential,10.1111/rec.12409,2016,Wang,
9,Pre or post breeding census,pre,,10.1111/rec.12409,2016,Wang,
10,Life cycle correctly estimated?,no,missing survival from fledge to yearling,10.1111/rec.12409,2016,Wang,
11,What is error if one found?,NA,,10.1111/rec.12409,2016,Wang,
12,What metric used for fecundity?,average number of fledglings per pair per year,breeding success = number of fledglings divided by clutch size,10.1111/rec.12409,2016,Wang,
13,Sample size,133,released and wild-born,10.1111/rec.12409,2016,Wang,
,,,,,,,
1,Is there an MPM in original paper?,yes,part of bayesian heirarchical model of abundance,10.1111/risa.12988,2018,Boveng,
2,Organism,mammal,harbour seal,10.1111/risa.12988,2018,Boveng,
3,Do they model an observation process for survival?,yes,mcmc hierarchical model,10.1111/risa.12988,2018,Boveng,
4,Do they model an observation process for fecundity?,yes,mcmc hierarchical model,10.1111/risa.12988,2018,Boveng,
5,Was uncertainty reported?,yes,plotted posterior distributions,10.1111/risa.12988,2018,Boveng,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1111/risa.12988,2018,Boveng,
7,Was lambda estimated from matrix? If yes what conclusion,yes,positive growth,10.1111/risa.12988,2018,Boveng,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1111/risa.12988,2018,Boveng,
9,Pre or post breeding census,not reported,guess: pre,10.1111/risa.12988,2018,Boveng,
10,Life cycle correctly estimated?,yes,,10.1111/risa.12988,2018,Boveng,
11,What is error if one found?,NA,,10.1111/risa.12988,2018,Boveng,
12,What metric used for fecundity?,recruitment,includes survival,10.1111/risa.12988,2018,Boveng,
13,Sample size,can't tell,not reported,10.1111/risa.12988,2018,Boveng,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
2,Organism,scleractinia,Acropora cervicornis,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
3,Do they model an observation process for survival?,no,transition frequency tables,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
4,Do they model an observation process for fecundity?,no,transition frequency tables,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
5,Was uncertainty reported?,yes,bootstrapped CI for lambda,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
6,"If reported, was the uncertainty complete for all parameters?",no,survival reproduction,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
7,Was lambda estimated from matrix? If yes what conclusion,yes,below one with dramatic decline,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,LTRE for actual years of data - reduction in stasis of large-sized colonies was most important,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
9,Pre or post breeding census,not reported,guess: pre,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
10,Life cycle correctly estimated?,yes,,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
11,What is error if one found?,NA,size based so maybe could be IPM,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
12,What metric used for fecundity?,probability of producing a fragment and it surviving to one year,,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
13,Sample size,300,total coral colonies,10.1007/s00338-015-1341-8,2015,Mercado-Molina,
,,,,,,,
1,Is there an MPM in original paper?,yes,experiment,10.1007/s00442-011-1931-2,2011,Grey,very little uncertainty presented and some only plotted
2,Organism,chordata,Botrylloides violaceus,10.1007/s00442-011-1931-2,2011,Grey,did report F and P values for ancova but cannot get SE for actual matrix elements
3,Do they model an observation process for survival?,no,logistic regression survival linear regression growth,10.1007/s00442-011-1931-2,2011,Grey,
4,Do they model an observation process for fecundity?,no,ANCOVA ,10.1007/s00442-011-1931-2,2011,Grey,
5,Was uncertainty reported?,yes,bootstrapped confidence interval for lambda,10.1007/s00442-011-1931-2,2011,Grey,
6,"If reported, was the uncertainty complete for all parameters?",no,survival reproduction,10.1007/s00442-011-1931-2,2011,Grey,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"differed by site, Lopez and Wayne were positive but Makah and Pleasant CIs spanned 1",10.1007/s00442-011-1931-2,2011,Grey,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,LTRE - between site differences were larger than between contact treatment and winter recruit survival and growth to medium size was most influential,10.1007/s00442-011-1931-2,2011,Grey,
9,Pre or post breeding census,periodic,,10.1007/s00442-011-1931-2,2011,Grey,
10,Life cycle correctly estimated?,yes,did include laraval survival in fecundity,10.1007/s00442-011-1931-2,2011,Grey,
11,What is error if one found?,NA,size based so could be IPM?,10.1007/s00442-011-1931-2,2011,Grey,
12,What metric used for fecundity?,number of larvae time survival,,10.1007/s00442-011-1931-2,2011,Grey,
13,Sample size,>3000,"total colony transitions observed, 6-9 colonies per site for fecundity",10.1007/s00442-011-1931-2,2011,Grey,
,,,,,,,
1,Is there an MPM in original paper?,yes,integrated population model,10.1007/s00442-011-2070-5,2012,Schaub,
2,Organism,birds,hoopoe and wryneck,10.1007/s00442-011-2070-5,2012,Schaub,
3,Do they model an observation process for survival?,yes,CJS,10.1007/s00442-011-2070-5,2012,Schaub,
4,Do they model an observation process for fecundity?,yes,Poisson likelihood - parameter = product of fecundity and number of breeding females also includes apparent survival to capture,10.1007/s00442-011-2070-5,2012,Schaub,
5,Was uncertainty reported?,yes,,10.1007/s00442-011-2070-5,2012,Schaub,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1007/s00442-011-2070-5,2012,Schaub,
7,Was lambda estimated from matrix? If yes what conclusion,yes,positive for hoopoe but close to 1 for wrynecks (CI span 1),10.1007/s00442-011-2070-5,2012,Schaub,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,but looked at correlation of posterior est of demography on growth and found positive association between juvenile survival and growth,10.1007/s00442-011-2070-5,2012,Schaub,
9,Pre or post breeding census,pre,,10.1007/s00442-011-2070-5,2012,Schaub,
10,Life cycle correctly estimated?,yes,,10.1007/s00442-011-2070-5,2012,Schaub,
11,What is error if one found?,NA,,10.1007/s00442-011-2070-5,2012,Schaub,
12,What metric used for fecundity?,total fledglings per year per breeding female,two broods and includes survival to capture,10.1007/s00442-011-2070-5,2012,Schaub,
13,Sample size,4124,"number of marked hoopoe, 1970 marker wrynecks",10.1007/s00442-011-2070-5,2012,Schaub,
,,,,,,,
1,Is there an MPM in original paper?,no,,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
2,Organism,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
3,Do they model an observation process for survival?,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
4,Do they model an observation process for fecundity?,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
5,Was uncertainty reported?,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
7,Was lambda estimated from matrix? If yes what conclusion,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
9,Pre or post breeding census,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
10,Life cycle correctly estimated?,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
11,What is error if one found?,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
12,What metric used for fecundity?,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
13,Sample size,NA,NA,10.1007/s00442-015-3222-9,2015,Fernández-Chacón,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1007/s10336-011-0758-2,2012,Duckworth,program MARK
2,Organism,bird,Hadeda ibis,10.1007/s10336-011-0758-2,2012,Duckworth,
3,Do they model an observation process for survival?,yes,capture-mark-recapture model in program MARK,10.1007/s10336-011-0758-2,2012,Duckworth,
4,Do they model an observation process for fecundity?,no,Poisson GLMM (did try multiple),10.1007/s10336-011-0758-2,2012,Duckworth,
5,Was uncertainty reported?,yes,"SE survival, bootstrapped lambda",10.1007/s10336-011-0758-2,2012,Duckworth,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1007/s10336-011-0758-2,2012,Duckworth,
7,Was lambda estimated from matrix? If yes what conclusion,yes,confidence interval spanned 1 so stable,10.1007/s10336-011-0758-2,2012,Duckworth,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult survival was most influential,10.1007/s10336-011-0758-2,2012,Duckworth,
9,Pre or post breeding census,pre,,10.1007/s10336-011-0758-2,2012,Duckworth,
10,Life cycle correctly estimated?,yes,,10.1007/s10336-011-0758-2,2012,Duckworth,
11,What is error if one found?,NA,,10.1007/s10336-011-0758-2,2012,Duckworth,
12,What metric used for fecundity?,number of fledglings per year,includes survival and proportion of female chicks,10.1007/s10336-011-0758-2,2012,Duckworth,
13,Sample size,1110,"total resightings, 237 nestlings ringed, 404 broods",10.1007/s10336-011-0758-2,2012,Duckworth,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1007/s11252-016-0566-9,2016,Makenov,
2,Organism,mammal,domestic dog,10.1007/s11252-016-0566-9,2016,Makenov,
3,Do they model an observation process for survival?,no,ratio of individuals in age class x to individuals in first ages class x1,10.1007/s11252-016-0566-9,2016,Makenov,
4,Do they model an observation process for fecundity?,no,number of pups in 2013,10.1007/s11252-016-0566-9,2016,Makenov,
5,Was uncertainty reported?,no,"SE for mean litter size, but not for matrix parameters",10.1007/s11252-016-0566-9,2016,Makenov,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1007/s11252-016-0566-9,2016,Makenov,
7,Was lambda estimated from matrix? If yes what conclusion,yes,1.01,10.1007/s11252-016-0566-9,2016,Makenov,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,first 3 age classes are most influential,10.1007/s11252-016-0566-9,2016,Makenov,popdemo R package
9,Pre or post breeding census,can't tell,not reported and no life cycle diagram,10.1007/s11252-016-0566-9,2016,Makenov,
10,Life cycle correctly estimated?,can't tell,,10.1007/s11252-016-0566-9,2016,Makenov,
11,What is error if one found?,can't tell,,10.1007/s11252-016-0566-9,2016,Makenov,
12,What metric used for fecundity?,number of pups in 2013,,10.1007/s11252-016-0566-9,2016,Makenov,
13,Sample size,253,total females in leslie matrix,10.1007/s11252-016-0566-9,2016,Makenov,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1038/s41467-018-03506-3,2018,VandeWalle,
2,Organism,mammal,brown bear,10.1038/s41467-018-03506-3,2018,VandeWalle,
3,Do they model an observation process for survival?,no,binomial GLMM,10.1038/s41467-018-03506-3,2018,VandeWalle,
4,Do they model an observation process for fecundity?,no,negative binomial GLMM,10.1038/s41467-018-03506-3,2018,VandeWalle,popbio
5,Was uncertainty reported?,yes,bootstrapping,10.1038/s41467-018-03506-3,2018,VandeWalle,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1038/s41467-018-03506-3,2018,VandeWalle,
7,Was lambda estimated from matrix? If yes what conclusion,yes,both tactics had similar lambda 1.05-1.14 and 1.05-1.15,10.1038/s41467-018-03506-3,2018,VandeWalle,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,could not see it reported,10.1038/s41467-018-03506-3,2018,VandeWalle,
9,Pre or post breeding census,not reported,guess: post as fecundity inc adult survival,10.1038/s41467-018-03506-3,2018,VandeWalle,
10,Life cycle correctly estimated?,yes,,10.1038/s41467-018-03506-3,2018,VandeWalle,
11,What is error if one found?,NA,,10.1038/s41467-018-03506-3,2018,VandeWalle,
12,What metric used for fecundity?,number of yearling daughters,includes female survival too,10.1038/s41467-018-03506-3,2018,VandeWalle,
13,Sample size,614,female bear-years (not individuals),10.1038/s41467-018-03506-3,2018,VandeWalle,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1007/s10336-011-0745-7,2012,Szostek,program MARK
2,Organism,bird,common tern,10.1007/s10336-011-0745-7,2012,Szostek,urge caution for results
3,Do they model an observation process for survival?,yes,multi-state capture-recapture model in program MARK,10.1007/s10336-011-0745-7,2012,Szostek,
4,Do they model an observation process for fecundity?,no,direct calculation: mean fledglings - assume very high detection rate,10.1007/s10336-011-0745-7,2012,Szostek,
5,Was uncertainty reported?,yes,standard errors,10.1007/s10336-011-0745-7,2012,Szostek,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1007/s10336-011-0745-7,2012,Szostek,
7,Was lambda estimated from matrix? If yes what conclusion,yes,increasing lambda from 1992 to 2001 and then declining from 2002 to 2009 (but CI crosses 1),10.1007/s10336-011-0745-7,2012,Szostek,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1007/s10336-011-0745-7,2012,Szostek,
9,Pre or post breeding census,not reported,guess: post as fledglings inc,10.1007/s10336-011-0745-7,2012,Szostek,
10,Life cycle correctly estimated?,yes,,10.1007/s10336-011-0745-7,2012,Szostek,
11,What is error if one found?,NA,,10.1007/s10336-011-0745-7,2012,Szostek,
12,What metric used for fecundity?,number of fledglings per first clutch,,10.1007/s10336-011-0745-7,2012,Szostek,
13,Sample size,3720,fledglings with transponders ,10.1007/s10336-011-0745-7,2012,Szostek,
,,,,,,,
1,Is there an MPM in original paper?,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
2,Organism,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
3,Do they model an observation process for survival?,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
4,Do they model an observation process for fecundity?,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
5,Was uncertainty reported?,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
6,"If reported, was the uncertainty complete for all parameters?",technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
7,Was lambda estimated from matrix? If yes what conclusion,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
9,Pre or post breeding census,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
10,Life cycle correctly estimated?,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
11,What is error if one found?,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
12,What metric used for fecundity?,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
13,Sample size,technical report from Canadian fishing authority,technical report from Canadian fishing authority,not peer reviewed,2014,Vélez-Espino,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.2981/13-021,2013,Suzuki,
2,Organism,bird,rock ptarmigan,10.2981/13-021,2013,Suzuki,program MARK
3,Do they model an observation process for survival?,yes,mark-recapture analysis in program MARK,10.2981/13-021,2013,Suzuki,
4,Do they model an observation process for fecundity?,no,direct calculations then parameteric bootstrap,10.2981/13-021,2013,Suzuki,
5,Was uncertainty reported?,yes,and propagated,10.2981/13-021,2013,Suzuki,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.2981/13-021,2013,Suzuki,
7,Was lambda estimated from matrix? If yes what conclusion,yes,stable but confidence intervals span zero so decreasing is also a possibility,10.2981/13-021,2013,Suzuki,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,fertility and survival for age class 1 had biggest influence,10.2981/13-021,2013,Suzuki,
9,Pre or post breeding census,pre,"assumed, not reported",10.2981/13-021,2013,Suzuki,
10,Life cycle correctly estimated?,yes,,10.2981/13-021,2013,Suzuki,
11,What is error if one found?,NA,,10.2981/13-021,2013,Suzuki,
12,What metric used for fecundity?,recruits,,10.2981/13-021,2013,Suzuki,
13,Sample size,259,"total for hatchability, 59 for clutch size, 57 for daily survival",10.2981/13-021,2013,Suzuki,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1002/wmon.1012,2014,Howerter,split sampling from process variation
2,Organism,bird,mallard,10.1002/wmon.1012,2014,Howerter,PopTools
3,Do they model an observation process for survival?,no,likelihood based glm,10.1002/wmon.1012,2014,Howerter,PROC NLMIXED SAS
4,Do they model an observation process for fecundity?,no,likelihood based regression,10.1002/wmon.1012,2014,Howerter,PROC GENMOD SAS
5,Was uncertainty reported?,yes,simulated process variation influence on lambda,10.1002/wmon.1012,2014,Howerter,
6,"If reported, was the uncertainty complete for all parameters?",yes,process variation,10.1002/wmon.1012,2014,Howerter,
7,Was lambda estimated from matrix? If yes what conclusion,yes,declining 0.95 mean 0.98 median but CI crosses 1 0.68-1.38,10.1002/wmon.1012,2014,Howerter,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,most influential were most sensitive to nest survival and then to other vital rates for birds older than 2 years,10.1002/wmon.1012,2014,Howerter,shows how sensitivities change as matrix components change
9,Pre or post breeding census,pre,,10.1002/wmon.1012,2014,Howerter,
10,Life cycle correctly estimated?,yes,,10.1002/wmon.1012,2014,Howerter,
11,What is error if one found?,not sure,not sure why full year female survival is in the recruitment term,10.1002/wmon.1012,2014,Howerter,
12,What metric used for fecundity?,recruitment,,10.1002/wmon.1012,2014,Howerter,
13,Sample size,3214,radio-marked female mallards,10.1002/wmon.1012,2014,Howerter,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1016/j.biocon.2013.07.008,2013,Wielgus,RAMAS
2,Organism,mammal,cougars,10.1016/j.biocon.2013.07.008,2013,Wielgus,
3,Do they model an observation process for survival?,can't tell,Modified Mayfield method,10.1016/j.biocon.2013.07.008,2013,Wielgus,
4,Do they model an observation process for fecundity?,no,direct calculation of mean kittens divided by number of adult females times female survival divided by 2,10.1016/j.biocon.2013.07.008,2013,Wielgus,
5,Was uncertainty reported?,no,"standard deviation for survival (not sure that is uncertainty), have ± on litter size but doesn't say what it is. Standard deviations seem to cover environmental and demographic stochasticity not uncertainty",10.1016/j.biocon.2013.07.008,2013,Wielgus,± not labelled!
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1016/j.biocon.2013.07.008,2013,Wielgus,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"0.8 in HH and 1.05 in LH, results supported by stochastic growth rates too (with hunting). When hunting excluded deterministic growth was 0.99 in HH and 1.14 in LH. ",10.1016/j.biocon.2013.07.008,2013,Wielgus,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival of kittens had highest elasticity in both populations,10.1016/j.biocon.2013.07.008,2013,Wielgus,
9,Pre or post breeding census,not reported,,10.1016/j.biocon.2013.07.008,2013,Wielgus,
10,Life cycle correctly estimated?,NA,,10.1016/j.biocon.2013.07.008,2013,Wielgus,
11,What is error if one found?,NA,,10.1016/j.biocon.2013.07.008,2013,Wielgus,
12,What metric used for fecundity?,number of kittens,,10.1016/j.biocon.2013.07.008,2013,Wielgus,
13,Sample size,60,total samples across one area for survival,10.1016/j.biocon.2013.07.008,2013,Wielgus,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1016/j.biocon.2014.05.026,2014,Goswami,no sample sizes reported
2,Organism,mammal,elephant,10.1016/j.biocon.2014.05.026,2014,Goswami,
3,Do they model an observation process for survival?,can't tell,from literature,10.1016/j.biocon.2014.05.026,2014,Goswami,
4,Do they model an observation process for fecundity?,can't tell,from literature,10.1016/j.biocon.2014.05.026,2014,Goswami,
5,Was uncertainty reported?,no,used estimates from previous paper - might have been reported there but not propagated,10.1016/j.biocon.2014.05.026,2014,Goswami,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1016/j.biocon.2014.05.026,2014,Goswami,
7,Was lambda estimated from matrix? If yes what conclusion,yes,not explcitly reported not focus of paper,10.1016/j.biocon.2014.05.026,2014,Goswami,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1016/j.biocon.2014.05.026,2014,Goswami,
9,Pre or post breeding census,post,,10.1016/j.biocon.2014.05.026,2014,Goswami,
10,Life cycle correctly estimated?,yes,,10.1016/j.biocon.2014.05.026,2014,Goswami,
11,What is error if one found?,NA,,10.1016/j.biocon.2014.05.026,2014,Goswami,
12,What metric used for fecundity?,baseline survival times fecundity rate,not sure what fecundity is,10.1016/j.biocon.2014.05.026,2014,Goswami,
13,Sample size,not reported,,10.1016/j.biocon.2014.05.026,2014,Goswami,
,,,,,,,
1,Is there an MPM in original paper?,yes,from previous paper (Jensen 2000),10.1016/j.biocon.2013.05.008,2013,Chelliah,no sample sizes as from literature
2,Organism,mammal,elephants,10.1016/j.biocon.2013.05.008,2013,Chelliah,
3,Do they model an observation process for survival?,can't tell,from literature,10.1016/j.biocon.2013.05.008,2013,Chelliah,
4,Do they model an observation process for fecundity?,no,from literature,10.1016/j.biocon.2013.05.008,2013,Chelliah,
5,Was uncertainty reported?,no,,10.1016/j.biocon.2013.05.008,2013,Chelliah,
6,"If reported, was the uncertainty complete for all parameters?",NA,,10.1016/j.biocon.2013.05.008,2013,Chelliah,
7,Was lambda estimated from matrix? If yes what conclusion,no,,10.1016/j.biocon.2013.05.008,2013,Chelliah,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,10.1016/j.biocon.2013.05.008,2013,Chelliah,
9,Pre or post breeding census,can't tell,not reported,10.1016/j.biocon.2013.05.008,2013,Chelliah,
10,Life cycle correctly estimated?,can't tell,not reported,10.1016/j.biocon.2013.05.008,2013,Chelliah,
11,What is error if one found?,NA,,10.1016/j.biocon.2013.05.008,2013,Chelliah,
12,What metric used for fecundity?,can't tell,not reported,10.1016/j.biocon.2013.05.008,2013,Chelliah,
13,Sample size,can't tell,not reported,10.1016/j.biocon.2013.05.008,2013,Chelliah,
,,,,,,,
1,Is there an MPM in original paper?,yes,experimental,10.1111/eea.12325,2015,Cibils-Stewart,popbio package
2,Organism,insect,cabbage aphid Brevicoryne brassicae L.,10.1111/eea.12325,2015,Cibils-Stewart,
3,Do they model an observation process for survival?,no,deterministic matrix population model,10.1111/eea.12325,2015,Cibils-Stewart,direct calculations
4,Do they model an observation process for fecundity?,no,direct calculation,10.1111/eea.12325,2015,Cibils-Stewart,
5,Was uncertainty reported?,yes,lambda and parametric bootstrap for all matrix elements,10.1111/eea.12325,2015,Cibils-Stewart,calculated for all but not reported for survival
6,"If reported, was the uncertainty complete for all parameters?",no,survival stasis,10.1111/eea.12325,2015,Cibils-Stewart,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"lambda was higher for aphids when aphids were restricted to reproductive tissues 1.25 ± 0.01, compared to leaves 1.17 ± 0.01",10.1111/eea.12325,2015,Cibils-Stewart,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,stasis of adults and adult survival were most important. Also did LTRE,10.1111/eea.12325,2015,Cibils-Stewart,
9,Pre or post breeding census,can't tell,not indicated,10.1111/eea.12325,2015,Cibils-Stewart,
10,Life cycle correctly estimated?,can't tell,daily time step,10.1111/eea.12325,2015,Cibils-Stewart,
11,What is error if one found?,NA,,10.1111/eea.12325,2015,Cibils-Stewart,
12,What metric used for fecundity?,mean number of female clones per adult female per day,,10.1111/eea.12325,2015,Cibils-Stewart,
13,Sample size,2727,mean total number of aphids are 21 days across 4 groups,10.1111/eea.12325,2015,Cibils-Stewart,
,,,,,,,
1,Is there an MPM in original paper?,no,just capture mark recpature,10.1017/S0950268812000167,2012,Hayman,
2,Organism,mammal,bat,10.1017/S0950268812000167,2012,Hayman,
3,Do they model an observation process for survival?,NA,NA,10.1017/S0950268812000167,2012,Hayman,
4,Do they model an observation process for fecundity?,NA,NA,10.1017/S0950268812000167,2012,Hayman,
5,Was uncertainty reported?,NA,NA,10.1017/S0950268812000167,2012,Hayman,
6,"If reported, was the uncertainty complete for all parameters?",NA,NA,10.1017/S0950268812000167,2012,Hayman,
7,Was lambda estimated from matrix? If yes what conclusion,NA,NA,10.1017/S0950268812000167,2012,Hayman,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,NA,NA,10.1017/S0950268812000167,2012,Hayman,
9,Pre or post breeding census,NA,NA,10.1017/S0950268812000167,2012,Hayman,
10,Life cycle correctly estimated?,NA,NA,10.1017/S0950268812000167,2012,Hayman,
11,What is error if one found?,NA,NA,10.1017/S0950268812000167,2012,Hayman,
12,What metric used for fecundity?,NA,NA,10.1017/S0950268812000167,2012,Hayman,
13,Sample size,NA,NA,10.1017/S0950268812000167,2012,Hayman,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,popbio R
2,Organism,Diadematoida,long-spined sea urchin,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,
3,Do they model an observation process for survival?,no,quadratic programming routine,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,
4,Do they model an observation process for fecundity?,no,direction calculation: number of small sea urchins per area,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,
5,Was uncertainty reported?,yes,"± for recruitment, assume sd but does not say bootstrapped lambda",10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,TYPE NOT REPORTED
6,"If reported, was the uncertainty complete for all parameters?",no,survival,10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,
7,Was lambda estimated from matrix? If yes what conclusion,yes,all four populations we below 1 (0.918-0.964),10.1016/j.ecss.2015.06.021,2015,Rodriguez-Barreras,
